Naam,Nummer,X,Y
Hollum,10,172000,605000
West Terschelling,11,144000,598000
Schiermonnikoog,12,208000,610000
Oost Vlieland,15,134000,590000
Petten,16,106000,531000
Den Burg,17,116000,563000
Nes (Ameland),18,181000,607000
De Cocksdorp,19,121000,575000
Callantsoog,21,109000,541000
De Koog,22,114000,568000
De Kooy,25,115000,548000
Formerum,26,149000,601000
Skrins,61,173000,570000
Sneek,64,172000,561000
Makkum,65,156000,564000
Harlingen,66,158000,577000
Dokkum,67,195000,593000
St Anna Parochie,68,174000,588000
Appelscha,69,219000,553000
Oudemirdum,70,163000,541000
Drachten,73,203000,570000
Oldeholtpade,75,200000,546000
Kornwerderzand,76,152000,564000
Kollum,77,205000,588000
Herbayum,78,163000,577000
Heeg,79,169000,553000
Stavoren,80,153000,544000
Joure,81,184000,553000
Gorredijk,82,200000,557000
Ezumazijl,84,206000,597000
Leeuwarden,85,180000,582000
Nijbeets,86,196000,564000
Bergumerdam,87,197000,577000
Akkrum,89,184000,563000
Eernewoude,90,192000,572000
Ternaard,91,194000,599000
Middelstum,134,237000,594000
Woltersum,135,244000,588000
Ezinge,136,226000,590000
Groningen,139,235000,578000
Assen,140,236000,558000
Delfzijl,141,258000,594000
Warffum,142,233000,602000
Finsterwolde,143,270000,581000
Ter Apel,144,269000,544000
Zoutkamp,145,215000,594000
Veendam,147,251000,569000
Sappemeer,148,245000,575000
Uithuizen,150,241000,600000
Roodeschool,151,248000,607000
Gieterveen,152,253000,561000
Winschoten,153,266000,573000
Eenrum,154,227000,598000
Eext,155,245000,558000
Vlagtwedde,156,271000,562000
Onnen,158,241000,575000
Nieuw Buinen,159,260000,555000
Veenhuizen (D),160,222000,563000
Eelde,161,235000,571000
Niekerk,162,219000,582000
Roden,163,225000,574000
Zeerijp,164,246000,596000
Marum,166,215000,574000
Anjum,171,205000,600000
Nieuwolda,172,262000,586000
Heiloo,217,111000,512000
Enkhuizen,221,148000,525000
Hoorn (Nh),222,132000,518000
Schellingwoude,223,128000,490000
Edam,224,132000,503000
Overveen,225,101000,490000
Wijk aan Zee,226,103000,501000
Anna Paulowna,227,118000,542000
Schagen,228,116000,534000
Zandvoort,229,95000,484000
Zaandijk,230,116000,499000
Zaandam (Hembrug),233,117000,493000
Bergen (Nh),234,107000,522000
Castricum,235,105000,507000
Medemblik,236,136000,530000
De Haukes,238,125000,544000
Den Oever,239,131000,549000
Kreileroord,240,135000,542000
Purmerend,242,125000,503000
Hoogkarspel,249,140000,522000
West Beemster,251,122000,511000
Kolhorn,252,122000,534000
Obdam (Nieuw),255,121000,521000
Marken (Nieuw),256,137000,497000
Hoogwoud,257,126000,527000
Assendelft,263,110000,498000
Steenwijksmoer,298,242000,520000
Marknesse,317,187000,523000
Laaghalen,323,232000,549000
Frederiksoord,326,209000,540000
Dwingelo,327,224000,538000
Heerde,328,199000,488000
Wapenveld,329,202000,494000
Zwolle,330,206000,505000
Denekamp,331,267000,489000
Hoogeveen,332,229000,525000
Emmen,333,256000,534000
IJsselmuiden,335,194000,510000
Oldebroek,336,191000,489000
Schoonlo,337,244000,547000
Giethoorn,338,201000,526000
Rheezerveen,339,235000,509000
Heino,340,215000,495000
Zweelo,341,246000,535000
Vilsteren,342,221000,505000
Schoonebeek,343,257000,523000
Tollebeek,344,171000,520000
Vroomshoop,345,236000,496000
Emmeloord,348,181000,524000
Klazienaveen,349,264000,529000
Elburg,350,185000,495000
Nagele,352,178000,515000
Blokzijl,353,193000,527000
Dedemsvaart,354,227000,512000
Kuinre,356,186000,533000
Rouveen,358,209000,514000
Lemmer (Gemaal Buma),359,177000,539000
Tubbergen,361,250000,491000
Ruinerwold,362,213000,526000
Dronten,364,187000,506000
Swifterbant,365,171000,508000
Biddinghuizen,366,176000,496000
Oostvaardersdiep,367,144000,492000
Lelystad (Eendenweg),369,165000,496000
Zeewolde,371,154000,489000
Zeewolde (Schillinkweg),372,157000,479000
Zoetermeer,426,96000,454000
Groot Ammers,434,117000,438000
Heemstede,435,104000,484000
Lijnden (Nh),437,112000,485000
Hoofddorp,438,106000,478000
Roelofarendsveen,439,103000,470000
Scheveningen,440,81000,458000
Amsterdam,441,123000,487000
Boskoop,442,107000,455000
Gouda,443,109000,447000
Katwijk aan den Rijn,444,88000,467000
Goedereede,446,57000,426000
Den Bommel,447,80000,415000
Delft,449,85000,447000
Numansdorp,450,88000,417000
Bergschenhoek,453,94000,444000
Lisse,454,98000,475000
Strijen,455,100000,420000
Oostvoorne,456,66000,436000
Aalsmeer,458,113000,475000
Barendrecht,461,97000,430000
Dirksland,462,65000,418000
Nieuw Helvoet,463,68000,428000
Brielle,464,70000,435000
Oud Alblas,465,107000,430000
Poortugaal,467,86000,430000
Leiden,469,93000,462000
Zegveld,470,117000,461000
Ouddorp,471,51000,427000
Rotterdam-Waalhaven,473,89000,434000
Valkenburg,474,89000,466000
Hoek van Holland,477,70000,445000
Maasland,479,77000,443000
Honselersdijk,480,77000,447000
Voorschoten,481,89000,461000
Hendrik Ido Ambacht,482,104000,427000
Krimpen aan de Lek,483,102000,434000
Doorn,509,151000,452000
Vaassen,510,195000,477000
Epe,514,197000,484000
Harderwijk,516,170000,486000
Wijk bij Duurstede,523,150000,442000
Nijmegen,539,190000,429000
Arnhem,541,192000,446000
Putten (Gld),542,170000,472000
Apeldoorn,543,193000,470000
Woudenberg,546,160000,455000
Nijkerk,547,161000,472000
Loenen aan de Vecht,548,131000,469000
Culemborg,549,144000,438000
De Bilt,550,141000,457000
Eerbeek,557,202000,458000
Lunteren,558,170000,456000
Vleuten,559,129000,456000
Amerongen,560,160000,445000
Benschop,561,124000,446000
Tiel,562,159000,438000
Weesp,563,131000,480000
Hulshorst,564,176000,486000
Voorthuizen,565,170000,466000
Kootwijk (Radio),567,185000,465000
Heumen,569,186000,420000
Elspeet,570,182000,478000
Harskamp,571,179000,463000
Abcoude,572,127000,475000
Beekbergen,573,194000,464000
Spakenburg,576,155000,474000
Oosterbeek,578,186000,447000
Veenendaal,579,169000,449000
Barneveld,580,167000,461000
Hamersveld,582,157000,461000
Wageningen (Pd),583,173000,443000
Geldermalsen,584,147000,432000
Duiven,588,198000,442000
Zetten,589,178000,439000
Deelen,591,189000,453000
Laren,593,142000,473000
Soest,595,151000,464000
Eemnes,596,147000,476000
Hengelo,645,218000,453000
Lochem,663,224000,463000
Almelo,664,242000,485000
Enschede,665,259000,470000
Winterswijk (Sibinkweg),666,244000,442000
Doetinchem,667,218000,444000
Hengelo (O),668,249000,476000
Borculo,669,233000,457000
Twenthe,670,259000,476000
Hellendoorn,672,227000,489000
Gendringen,673,221000,431000
Rekken,674,247000,456000
Weerselo,675,256000,486000
Almen,678,219000,464000
