Naam,Nummer,X,Y
Valkenburg,6210,89000,466000
De Kooy,6235,115000,548000
Schiphol,6240,112900,479293
Berkhout,6249,127437,517022
Hoorn (Terschelling),6251,152524,600408
Wijk aan Zee,6257,103000,501000
De Bilt,6260,141000,457000
Soesterberg,6265,146975,460206
Stavoren,6267,153000,544000
Lelystad (Eendenweg),6269,165000,496000
Leeuwarden,6270,180000,582000
Marknesse,6273,187000,523000
Deelen,6275,189000,453000
Lauwersoog,6277,209051,602938
Heino,6278,215000,495000
Hoogeveen,6279,229000,525000
Eelde,6280,235000,571000
Hupsel,6283,241000,454000
Nieuw Beerta,6286,272792,580703
Twenthe,6290,259000,476000
Vlissingen,6310,30748,384956
Westdorpe,6319,49000,360000
Wilhelminadorp,6323,52000,394000
Hoek van Holland,6330,70000,445000
Rotterdam,6344,89882,440597
Cabauw,6348,123582,442497
Gilze-Rijen,6350,123000,398000
Herwijnen,6356,139000,426000
Eindhoven (Vb),6370,157000,384000
Volkel,6375,177000,408000
Ell,6377,181056,356800
Maastricht,6380,181924,324541
Arcen,6391,210000,388000
